qasm_path,runtime,fidelity,matrix_product_state_max_bond_dimension,mps_lapack,opt_level,matrix_product_state_truncation_threshold,mps_sample_measure_algorithm
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.17455482482910156,0.201,256,1,1,1e-2,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.450890064239502,0.999,128,1,2,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.6611592769622803,0.988,2048,1,1,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.5441329479217529,0.586,2048,1,1,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.31830906867980957,0.586,64,0,1,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.6863455772399902,0.988,256,1,1,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.32122230529785156,0.586,256,0,1,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.5526812076568604,0.586,2048,1,2,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.241480588912964,1.0,128,1,2,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.3379108905792236,1.0,2048,0,2,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.437748908996582,1.0,2048,1,3,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.5187180042266846,0.999,2048,1,2,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.1830217838287354,1.0,256,1,1,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.7468504905700684,0.896,32,1,3,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.673905611038208,0.988,2048,1,2,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.90583062171936,1.0,2048,1,3,1e-8,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.4456562995910645,0.999,2048,1,3,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.100806474685669,0.91,32,1,2,1e-7,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.1770522594451904,1.0,2048,1,3,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.951797962188721,1.0,128,1,2,1e-8,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.6635138988494873,0.988,512,1,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.5494484901428223,0.586,64,1,1,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.14403796195983887,0.0,2048,1,2,1e-1,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.435744047164917,0.999,2048,1,2,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,5.167661905288696,1.0,2048,0,1,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.293358325958252,1.0,2048,1,2,1e-6,mps_probabilities
